ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes
1342,2,84,-827.24,-830.54,0.05,512.194795,1,456100,1082
1343,2,84,-852.3,-830.61,0.05,1091.542894,1,456184,1083
1344,2,86,-818.41,-830.39,0.05,757.633104,1,456270,1084
1345,2,85,-947.85,-831.25,0.05,667.895613,1,456355,1085
1346,2,89,-835.87,-831.14,0.05,565.152734,1,456444,1086
1347,2,90,-866.1,-831.5,0.05,865.911329,1,456534,1087
1348,2,88,-824.55,-830.84,0.05,528.652896,1,456622,1088
1349,2,84,-850.87,-831.12,0.05,489.813705,1,456706,1089
1350,2,85,-833.26,-830.57,0.05,462.758021,1,456791,1090
1351,2,85,-841.76,-829.9,0.05,579.707992,1,456876,1091
1352,2,86,-841.26,-829.9,0.05,603.62288,1,456962,1092
1353,2,84,-852.61,-829.93,0.05,508.530458,1,457046,1093
1354,2,85,-842.37,-829.52,0.05,624.801889,1,457131,1094
1355,2,83,-850.59,-829.62,0.05,620.33391,1,457214,1095
1356,2,85,-856.3,-829.79,0.05,664.133161,1,457299,1096
1357,2,85,-824.79,-829.74,0.05,427.703261,1,457384,1097
1358,2,86,-832.55,-829.88,0.05,535.109519,1,457470,1098
1359,2,85,-823.73,-829.49,0.05,1047.65932,1,457555,1099
1360,2,85,-807.86,-828.56,0.05,526.588916,1,457640,1100
1361,2,84,-841.69,-827.96,0.05,786.418978,1,457724,1101
1362,2,83,-869.26,-827.8,0.05,1107.427271,1,457807,1102
1363,2,83,-838.52,-827.59,0.05,1126.429717,1,457890,1103
1364,2,85,-850.9,-827.54,0.05,865.020608,1,457975,1104
1365,2,85,-838.03,-827.48,0.05,605.083397,1,458060,1105
1366,2,84,-822.69,-826.47,0.05,608.367473,1,458144,1106
1367,2,83,-828.66,-826.34,0.05,619.527996,1,458227,1107
1368,2,81,-903.96,-826.61,0.05,839.676406,1,458308,1108
1369,2,83,-925.81,-827.49,0.05,744.44912,1,458391,1109
