ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes
970,2,420,591.3,584.16,0.05,1336.638502,1,273086,845
971,2,418,546.18,576.85,0.05,1335.220674,1,273504,846
972,2,418,555.07,582.04,0.05,808.617445,1,273922,847
973,2,426,551.94,574.59,0.05,1119.74715,1,274348,848
974,2,419,523.38,579.35,0.05,1136.377739,1,274767,849
975,2,423,493.49,583.82,0.05,885.165739,1,275190,850
976,2,419,574.81,570.34,0.05,936.38783,1,275609,851
977,2,500,1442.87,573.44,0.05,814.803321,0,276109,851
978,2,420,567.88,578.87,0.05,777.846009,1,276529,852
979,2,418,543.82,586.35,0.05,1402.016568,1,276947,853
980,2,419,571.41,591.42,0.05,1065.743155,1,277366,854
981,2,425,598.0,597.77,0.05,913.588568,1,277791,855
982,2,417,596.22,585.94,0.05,1343.19224,1,278208,856
983,2,417,580.6,591.73,0.05,559.384408,1,278625,857
984,2,413,582.92,581.83,0.05,782.654066,1,279038,858
985,2,419,575.0,573.02,0.05,768.766567,1,279457,859
986,2,426,560.82,578.14,0.05,752.752544,1,279883,860
987,2,426,471.09,567.06,0.05,1159.327762,1,280309,861
988,2,500,1488.76,567.83,0.05,693.043903,0,280809,861
989,2,500,1491.5,568.78,0.05,1269.86698,0,281309,861
990,2,417,503.68,574.74,0.05,603.431499,1,281726,862
991,2,500,1399.61,571.04,0.05,1015.077784,0,282226,862
992,2,419,539.72,582.01,0.05,1203.100152,1,282645,863
993,2,423,513.79,587.04,0.05,957.430097,1,283068,864
994,2,417,482.95,592.18,0.05,526.422644,1,283485,865
995,2,420,530.11,580.76,0.05,713.457184,1,283905,866
996,2,421,463.36,585.33,0.05,919.906499,1,284326,867
997,2,426,543.78,572.17,0.05,702.207253,1,284752,868
998,2,424,551.27,559.55,0.05,894.38278,1,285176,869
999,2,421,549.86,547.67,0.05,555.698045,1,285597,870
1000,2,421,556.32,535.08,0.05,948.909263,1,286018,871
1001,1,500,1501.48,544.35,0.05,441.408987,0,286518,871
1002,1,500,1624.67,554.56,0.05,533.310044,0,287018,871
1003,1,500,1888.37,567.59,0.05,832.633302,0,287518,871
1004,1,500,889.42,561.22,0.05,618.750517,0,288018,871
1005,1,500,1578.12,571.15,0.05,742.318498,0,288518,871
1006,1,500,1508.87,580.33,0.05,583.6375,0,289018,871
1007,1,500,1773.49,592.58,0.05,715.272806,0,289518,871
1008,1,500,1478.14,601.65,0.05,876.021218,0,290018,871
1009,1,500,1170.21,607.64,0.05,1222.914304,0,290518,871
1010,1,500,1723.97,618.99,0.05,757.306816,0,291018,871
1011,1,330,94.45,614.36,0.05,859.657301,1,291348,872
1012,1,500,1715.07,625.83,0.05,625.328829,0,291848,872
